418:30,S,'42',28@1:20,417
417:30,S,'42',28@1;28,S,27,24@1:27,416
416:28,S,27,24@1;24,S,'47',22@1:250,415
415:24,S,'47',22@1;22,T,'42',22@1:253,414
414:22,T,'42',22@1;22,T,22,27@1:390,413
413:22,T,22,27@1;27,T,4,27@1:405,412
412:27,T,4,27@1;27,D,27,27@1:408,411
411:27,D,27,27@1;27,S,'57','59'@1:57_cluster_WAC06725|451761|1038-1345|7714|57_cluster_WAC06725-2978-Item19-E_0,59_cluster_WAC06783|42685d|1038-1345|7962|59_cluster_WAC06783-3059-Item19-E_0
408:27,D,27,27@1;27,S,'57','59'@1:57_cluster_WAC06725|20c8cf|1030-1336|7701|57_cluster_WAC06725-2977-Item13-E_0,59_cluster_WAC06783|108337|1060-1366|7949|59_cluster_WAC06783-3058-Item13-E_0
405:27,T,4,27@1;4,D,4,4@1:399,404
404:4,D,4,4@1;4,S,'61',2@1:61_cluster_FNTE|83000e|2539-2846|8196|61_cluster_FNTE-3137-Item21-E_0,403
403:4,S,'61',2@1;2,S,'43','54'@1:43_cluster_WAC01325|b6db0d|2537-2846|5571|43_cluster_WAC01325-2080-Item21-E_0,54_cluster_WAC05379-3|ba39af|2543-2852|7276|54_cluster_WAC05379-1-2851-Item10-E_0
399:4,D,4,4@1;4,S,'61',2@0.5:393,398
398:4,S,'61',2@0.5;2,T,'61',2@0.5:61_cluster_FNTE|83000e|1040-1347|8188|61_cluster_FNTE-3137-Item17-E_0,397
397:2,T,'61',2@0.5;2,S,'43','54'@1:43_cluster_WAC01325|b6db0d|1040-1345|5563|43_cluster_WAC01325-2080-Item17-E_0,54_cluster_WAC05379-3|ba39af|1047-1352|7268|54_cluster_WAC05379-1-2851-Item6-E_0
393:4,S,'61',2@0.5;'61',T,'43','61'@0.5:43_cluster_WAC01325|e1a992|1029-1331|5623|43_cluster_WAC01325-2079-Item11-E_0,61_cluster_FNTE|890b38|1029-1332|8175|61_cluster_FNTE-3136-Item11-E_0
390:22,T,22,27@1;22,T,'42',22@1:258,389
389:22,T,'42',22@1;22,T,22,43@1:305,388
388:22,T,22,43@1;43,S,41,'62'@0.4:318,387
387:43,S,41,'62'@0.4;'62',T,'62',41@0.4:331,386
386:'62',T,'62',41@0.4;41,S,37,40@0.6:358,385
385:41,S,37,40@0.6;40,D,40,40@0.093:371,384
384:40,D,40,40@0.093;40,T,'62',40@0.41:62_cluster_SspCNQ329.cluster001|f73c1e|1043-1357|8306|62_cluster_SspCNQ329.cluster001-3216-Item25-E_0,383
383:40,T,'62',40@0.41;40,T,35,40@0.56:379,382
382:40,T,35,40@0.56;40,S,'33','58'@1:33_cluster_SspCNQ509|436ed9|1044-1355|4410|33_cluster_SspCNQ509-1694-Item27-E_0,58_cluster_WAC06738cluster004|d9a549|1044-1355|7871|58_cluster_WAC06738cluster004-3023-Item24-E_0
379:40,T,35,40@0.56;35,S,'65',33@0.91:65_cluster_SspCNT371.cluster001|f326c5|1044-1360|8798|65_cluster_SspCNT371.cluster001-3384-Item27-E_0,378
378:35,S,'65',33@0.91;33,T,'63',33@0.91:63_cluster_SspCNQ525.cluster001|4ed3e5|1044-1360|8497|63_cluster_SspCNQ525.cluster001-3272-Item27-E_0,377
377:33,T,'63',33@0.91;33,S,'64','66'@1:64_cluster_SspCNQ865.cluster001|180773|1043-1359|8606|64_cluster_SspCNQ865.cluster001-3328-Item27-E_0,66_cluster_SspCNY243.cluster001|731b10|1043-1364|8957|66_cluster_SspCNY243.cluster001-3438-Item27-E_0
